Title,baseline,descent,descent Es 5,opt,simOpt,evenly spaced
R0-1.0 PE-0.24 beta-0.25 ,9298.48596374537,6912.959399676926,7233.072261249995,7172.273784175126,6858.3480772306075,6858.3480772306075
R0-1.0 PE-0.34 beta-0.25 ,9298.485963779483,6913.579875523347,7387.136329094081,7173.296631550476,6858.964872131376,6858.964872131376
R0-1.0 PE-0.44 beta-0.25 ,9298.485963808196,6914.2772555315805,7473.425278190393,7173.421755176575,6859.31472355352,6859.31472355352
R0-1.0 PE-0.24 beta-0.5 ,9298.485963842895,6914.72904578473,7227.523513726936,7172.9654990995205,6859.481920150376,6859.481920150376
R0-1.0 PE-0.34 beta-0.5 ,9298.485963905523,6915.874765746086,7379.41324427384,7174.335543876124,6860.568810622651,6860.568810622651
R0-1.0 PE-0.44 beta-0.5 ,9298.485963957213,6917.154245929612,7465.0325637607375,7175.443366841324,6861.534574758195,6861.534574758195
R0-1.0 PE-0.24 beta-0.75 ,9298.485963933188,6916.372260956703,7222.455669746745,7173.910144993306,6860.650387903861,6860.650387903861
R0-1.0 PE-0.34 beta-0.75 ,9298.48596401988,6917.965993666439,7372.5543944172005,7175.081360742586,6861.977246730373,6861.977246730373
R0-1.0 PE-0.44 beta-0.75 ,9298.485964090189,6919.7418317392985,7457.7133435897385,7176.418655283513,6863.228366115814,6863.228366115814
R0-1.1 PE-0.24 beta-0.25 ,15453.972648920453,7212.629129934682,7654.029338318784,7369.135790287597,7082.984896183209,7082.984896183209
R0-1.1 PE-0.34 beta-0.25 ,15453.972649055284,7214.26663282536,7910.774368276659,7370.035735706981,7084.206741537004,7084.206741537004
R0-1.1 PE-0.44 beta-0.25 ,15453.972649168758,7215.945007509225,8071.784959828592,7370.875778741958,7085.30002708446,7085.30002708446
R0-1.1 PE-0.24 beta-0.5 ,15453.972649306841,7216.78487447205,7641.891685925331,7371.071827906586,7085.82884707749,7085.82884707749
R0-1.1 PE-0.34 beta-0.5 ,15453.972649554602,7219.828887619922,7893.641247660054,7372.741508438152,7088.1039125967845,7088.1039125967845
R0-1.1 PE-0.44 beta-0.5 ,15453.972649759105,7222.934345160824,8052.991379771673,7374.283112624782,7090.129134949853,7090.129134949853
R0-1.1 PE-0.24 beta-0.75 ,15453.972649665215,7220.659392984371,7630.884502323681,7372.85581531762,7088.473081909016,7088.473081909016
R0-1.1 PE-0.34 beta-0.75 ,15453.972650008416,7224.919029798424,7878.509899833334,7375.193913418128,7091.669838081422,7091.669838081422
R0-1.1 PE-0.44 beta-0.75 ,15453.972650286758,7229.248858803781,8036.6810090709905,7377.323695069585,7094.489365971977,7094.489365971977
R0-1.2 PE-0.24 beta-0.25 ,30753.35668937082,7763.333205577411,8356.53145345849,7646.741753345634,7447.786685303096,7447.786685303096
R0-1.2 PE-0.34 beta-0.25 ,30753.3566896174,7767.460447233331,8771.860347327422,7648.473896616234,7450.662318324858,7450.662318324858
R0-1.2 PE-0.44 beta-0.25 ,30753.35668982498,7771.287718221615,9061.978722797536,7650.130312257463,7453.2649586062735,7453.2649586062735
R0-1.2 PE-0.24 beta-0.5 ,30753.3566900761,7772.434585809699,8330.14079005495,7650.255559474026,7453.9419187889525,7453.9419187889525
R0-1.2 PE-0.34 beta-0.5 ,30753.356690528904,7779.911651211949,8734.09171782193,7653.479692671999,7459.267202473432,7459.267202473432
R0-1.2 PE-0.44 beta-0.5 ,30753.35669090268,7787.243159844433,9020.460369314203,7656.525481688429,7464.095747128843,7464.095747128843
R0-1.2 PE-0.24 beta-0.75 ,30753.35669072939,7780.945247877834,8306.181856466941,7653.5023374305165,7459.679333186723,7459.679333186723
R0-1.2 PE-0.34 beta-0.75 ,30753.356691356305,7791.336059146262,8700.847403664327,7658.022660335553,7467.155643826451,7467.155643826451
R0-1.2 PE-0.44 beta-0.75 ,30753.356691864727,7801.695860446508,8984.536029959523,7662.2466144585605,7473.8949978163255,7473.8949978163255
